comparison	gene_name	logFC	CI.L	CI.R	adj.P.Val	AveExpr	P.Value	Chr	gene_id
CH vs Bedding	1110004F10Rik	0.239702919791114	0.132395236131196	0.347010603451032	0.00418732062589329	6.58690827822833	0.000126583417660316	chr7	ENSMUSG00000030663
Bedding vs Clean	1110017D15Rik	0.0288473630897235	-0.548198649820979	0.605893376000426	0.996912182859048	1.08132513072809	0.91839144762537	chr4	ENSMUSG00000028441
CH vs Clean	1110017D15Rik	0.440982015856554	-0.216377375062896	1.098341406776	0.388779598005258	1.08132513072809	0.178135267376626	chr4	ENSMUSG00000028441
CH vs Bedding	1110017D15Rik	0.41213465276683	-0.138964811649174	0.963234117182834	0.25977840650978	1.08132513072809	0.135236493816238	chr4	ENSMUSG00000028441
Bedding vs Clean	1110032F04Rik	-0.270035828934393	-0.676056409198447	0.135984751329661	0.815469648809676	4.05406255172288	0.181707045929956	chr3	ENSMUSG00000046999
CH vs Clean	1110032F04Rik	0.196183231196756	-0.260590250849233	0.652956713242744	0.603074651181975	4.05406255172288	0.382782173965955	chr3	ENSMUSG00000046999
CH vs Bedding	1110032F04Rik	0.466219060131149	0.0841040381990456	0.848334082063252	0.0685481744888149	4.05406255172288	0.0190503357526634	chr3	ENSMUSG00000046999
Bedding vs Clean	1110038F14Rik	-0.055244645193556	-0.22313243238763	0.112643142000518	0.924492062712459	3.66400703017498	0.502270433088856	chr15	ENSMUSG00000063236
CH vs Clean	1110038F14Rik	-0.0750121097806167	-0.263833823146588	0.113809603585354	0.632664008223234	3.66400703017498	0.419031964960531	chr15	ENSMUSG00000063236
CH vs Bedding	1110038F14Rik	-0.0197674645870607	-0.177534571532525	0.137999642358403	0.870462315799449	3.66400703017498	0.797489798299737	chr15	ENSMUSG00000063236
Bedding vs Clean	1110059E24Rik	0.0528057557204606	-0.119081937329579	0.2246934487705	0.931088845416965	3.41412178988708	0.530795848826431	chr19	ENSMUSG00000035171
CH vs Clean	1110059E24Rik	0.153814360835704	-0.0419230952974623	0.34955181696887	0.308392945358118	3.41412178988708	0.117462754169355	chr19	ENSMUSG00000035171
CH vs Bedding	1110059E24Rik	0.101008605115243	-0.062779947766978	0.264797157997465	0.360567878509812	3.41412178988708	0.214363253698105	chr19	ENSMUSG00000035171
Bedding vs Clean	1110059G10Rik	-0.0163253747476793	-0.159120283580639	0.12646953408528	0.985404622176196	3.34463408614626	0.81485665792246	chr9	ENSMUSG00000032551
CH vs Clean	1110059G10Rik	0.0493042115151905	-0.111867369491419	0.2104757925218	0.723353334504687	3.34463408614626	0.532519947680943	chr9	ENSMUSG00000032551
CH vs Bedding	1110059G10Rik	0.0656295862628697	-0.0693236295268154	0.200582802052555	0.479211061192102	3.34463408614626	0.3243207623538	chr9	ENSMUSG00000032551
Bedding vs Clean	1110065P20Rik	-0.0745841413597965	-0.260063451594786	0.110895168875193	0.900444010784656	5.16665886162972	0.413459025479887	chr4	ENSMUSG00000078570
CH vs Clean	1110065P20Rik	0.392409497025454	0.182586430781288	0.602232563269621	0.034593932560888	5.16665886162972	0.000803249431257087	chr4	ENSMUSG00000078570
CH vs Bedding	1110065P20Rik	0.466993638385251	0.291690077882604	0.642297198887898	0.00167335051365087	5.16665886162972	1.45387585916321e-05	chr4	ENSMUSG00000078570
Bedding vs Clean	1190005I06Rik	-0.119321193161559	-0.330572789460848	0.0919304031377298	0.851210243425773	2.79456710260021	0.254119173380774	chr8	ENSMUSG00000043687
CH vs Clean	1190005I06Rik	0.33901742503976	0.0981608470077186	0.579874003071801	0.0767814562871645	2.79456710260021	0.00792730052661392	chr8	ENSMUSG00000043687
CH vs Bedding	1190005I06Rik	0.458338618201319	0.256089388070103	0.660587848332535	0.00385245152667445	2.79456710260021	0.000107371213009869	chr8	ENSMUSG00000043687
Bedding vs Clean	1500009L16Rik	-0.157689975328855	-0.399261198721904	0.0838812480641945	0.819642554638506	3.942753943777	0.189658467160543	chr10	ENSMUSG00000087651
CH vs Clean	1500009L16Rik	0.13289801840375	-0.141836603061197	0.407632639868696	0.550915129124405	3.942753943777	0.326821375390112	chr10	ENSMUSG00000087651
CH vs Bedding	1500009L16Rik	0.290587993732604	0.0600354298290278	0.521140557636181	0.0610532040213207	3.942753943777	0.015828608449972	chr10	ENSMUSG00000087651
Bedding vs Clean	1500011B03Rik	-0.123931365249902	-0.260548887644617	0.0126861571448125	0.721909592264377	6.76360872794542	0.073252975761985	chr5	ENSMUSG00000072694
CH vs Clean	1500011B03Rik	0.16066163907019	0.00617206587675309	0.315151212263627	0.176017584041431	6.76360872794542	0.0422127242904811	chr5	ENSMUSG00000072694
CH vs Bedding	1500011B03Rik	0.284593004320092	0.155726868838767	0.413459139801417	0.00439057534208328	6.76360872794542	0.000143987986765844	chr5	ENSMUSG00000072694
Bedding vs Clean	1600012H06Rik	-0.0284926777490049	-0.16696012320437	0.10997476770636	0.961123580417317	4.0841664715609	0.673849705290549	chr17	ENSMUSG00000050088
CH vs Clean	1600012H06Rik	-0.118532511777948	-0.274318111705444	0.0372530881495479	0.322987212904951	4.0841664715609	0.128918827715053	chr17	ENSMUSG00000050088
CH vs Bedding	1600012H06Rik	-0.0900398340289432	-0.220122326288563	0.0400426582306768	0.300061479553578	4.0841664715609	0.165311648457758	chr17	ENSMUSG00000050088
Bedding vs Clean	1600014C10Rik	-0.00100644558465213	-0.157294898875433	0.155282007706129	0.999210053440283	5.5794095916538	0.989469837504105	chr7	ENSMUSG00000054676
CH vs Clean	1600014C10Rik	0.153265190091128	-0.0239860600606267	0.330516440242883	0.261529815000249	5.5794095916538	0.0867295454872622	chr7	ENSMUSG00000054676
CH vs Bedding	1600014C10Rik	0.15427163567578	0.00611553338252949	0.302427737969031	0.115439003572036	5.5794095916538	0.0419740821392624	chr7	ENSMUSG00000054676
Bedding vs Clean	1700001O22Rik	-0.00772366436949135	-0.314957928733822	0.299510599994839	0.998262179241535	2.20922509726802	0.958910242883523	chr2	ENSMUSG00000044320
CH vs Clean	1700001O22Rik	0.187734470153353	-0.15982117755006	0.535290117856767	0.498751721330499	2.20922509726802	0.27485461681582	chr2	ENSMUSG00000044320
CH vs Bedding	1700001O22Rik	0.195458134522845	-0.0960321234334389	0.486948392479128	0.316966399769718	2.20922509726802	0.178350039756465	chr2	ENSMUSG00000044320
Bedding vs Clean	1700003E16Rik	-0.147720908629038	-0.383978941735609	0.0885371244775326	0.825871964109182	5.00841186846585	0.208232674711289	chr6	ENSMUSG00000030030
CH vs Clean	1700003E16Rik	0.261488096264201	-0.00570916574785574	0.528685358276258	0.202420334837949	5.00841186846585	0.0546707912895656	chr6	ENSMUSG00000030030
CH vs Bedding	1700003E16Rik	0.409209004893239	0.185897330332259	0.63252067945422	0.0112952971912868	5.00841186846585	0.000976320360763471	chr6	ENSMUSG00000030030
Bedding vs Clean	1700008O03Rik	0.025753510822147	-0.245210223175016	0.29671724481931	0.987997684573504	0.740386283165954	0.845622310189028	chr7	ENSMUSG00000008028
CH vs Clean	1700008O03Rik	0.171248248674875	-0.139526903575151	0.4820234009249	0.488572677012572	0.740386283165954	0.265563923579309	chr7	ENSMUSG00000008028
CH vs Bedding	1700008O03Rik	0.145494737852728	-0.114982670392726	0.405972146098182	0.411963523795826	0.740386283165954	0.259267072383185	chr7	ENSMUSG00000008028
Bedding vs Clean	1700012B09Rik	0.243522409621691	-0.800530007446724	1.28757482669011	0.956357202096498	-0.189577790568888	0.633417371134965	chr9	ENSMUSG00000031927
CH vs Clean	1700012B09Rik	0.460449549868065	-0.735536360895946	1.65643546063208	0.644326971589385	-0.189577790568888	0.433222693148418	chr9	ENSMUSG00000031927
CH vs Bedding	1700012B09Rik	0.216927140246374	-0.785623742821744	1.21947802331449	0.769680327133042	-0.189577790568888	0.658065715591527	chr9	ENSMUSG00000031927
Bedding vs Clean	1700016K19Rik	-0.0255462097302761	-0.563231618527172	0.51213919906662	0.996931567870053	1.0793605308451	0.922437394594363	chr11	ENSMUSG00000053783
CH vs Clean	1700016K19Rik	0.332962047652872	-0.271238426571236	0.937162521876979	0.488572677012572	1.0793605308451	0.265526313858537	chr11	ENSMUSG00000053783
CH vs Bedding	1700016K19Rik	0.358508257383148	-0.147547330500605	0.864563845266901	0.288190021879418	1.0793605308451	0.156020823098679	chr11	ENSMUSG00000053783
Bedding vs Clean	1700017B05Rik	0.0151428309265906	-0.197628879000349	0.22791454085353	0.994163602626568	4.14249460532138	0.884059425656924	chr9	ENSMUSG00000032300
CH vs Clean	1700017B05Rik	0.109073703776275	-0.133353961323609	0.351501368876159	0.582017668987721	4.14249460532138	0.361079730024781	chr9	ENSMUSG00000032300
CH vs Bedding	1700017B05Rik	0.0939308728496844	-0.10920539915563	0.297067144854999	0.50292546065217	4.14249460532138	0.348169129044659	chr9	ENSMUSG00000032300
Bedding vs Clean	1700019D03Rik	6.40197112367069e-05	-0.227896002390694	0.228024041813167	0.999871534908352	4.03418881545175	0.999540756528042	chr1	ENSMUSG00000043629
CH vs Clean	1700019D03Rik	-0.0210877522441661	-0.279361159832066	0.237185655343734	0.932504177224919	4.03418881545175	0.867145138011636	chr1	ENSMUSG00000043629
CH vs Bedding	1700019D03Rik	-0.0211517719554029	-0.237085093006074	0.194781549095268	0.899250974272433	4.03418881545175	0.840959478041482	chr1	ENSMUSG00000043629
Bedding vs Clean	1700025G04Rik	0.116100618806275	-0.019694548633191	0.251895786245741	0.736422448102292	6.47531891466583	0.090095804419135	chr1	ENSMUSG00000032666
CH vs Clean	1700025G04Rik	-0.00310493987451643	-0.156704912413102	0.150495032664069	0.983530409148845	6.47531891466583	0.966954339326987	chr1	ENSMUSG00000032666
CH vs Bedding	1700025G04Rik	-0.119205558680791	-0.247340250364661	0.00892913300307865	0.157345002425473	6.47531891466583	0.0666994904700492	chr1	ENSMUSG00000032666
Bedding vs Clean	1700028J19Rik	-0.104143217483308	-0.519680060547473	0.311393625580857	0.950171899794594	-0.241278912643219	0.608576808827208	chr7	ENSMUSG00000038782
CH vs Clean	1700028J19Rik	0.0923762883203385	-0.371925416286128	0.556677992926805	0.825832676190819	-0.241278912643219	0.684017677451783	chr7	ENSMUSG00000038782
CH vs Bedding	1700028J19Rik	0.196519505803646	-0.1921913511103	0.585230362717592	0.460349800371624	-0.241278912643219	0.305961148593867	chr7	ENSMUSG00000038782
Bedding vs Clean	1700028K03Rik	0.540894038245751	0.100294340679588	0.981493735811913	0.590825278930701	-0.149750755287812	0.0183937702517985	chr5	ENSMUSG00000089798
CH vs Clean	1700028K03Rik	0.301682956246561	-0.196112602512908	0.79947851500603	0.440537640560031	-0.149750755287812	0.222120082444762	chr5	ENSMUSG00000089798
CH vs Bedding	1700028K03Rik	-0.23921108199919	-0.654383210440042	0.175961046441663	0.395509642141475	-0.149750755287812	0.244985640598233	chr5	ENSMUSG00000089798
Bedding vs Clean	1700029J07Rik	-0.05163847821254	-0.592744469757913	0.489467513332833	0.987827798021489	0.976686048640367	0.845000844318952	chr8	ENSMUSG00000071103
CH vs Clean	1700029J07Rik	-0.179557021131699	-0.790564820777353	0.431450778513956	0.733884466646823	0.976686048640367	0.548636136889249	chr8	ENSMUSG00000071103
CH vs Bedding	1700029J07Rik	-0.127918542919159	-0.639096129588011	0.383259043749694	0.730501559002033	0.976686048640367	0.60911550934735	chr8	ENSMUSG00000071103
Bedding vs Clean	1700030J22Rik	0.0635832013144508	-0.16521647631214	0.292382878941041	0.94180383775876	2.81465552726245	0.570408693118603	chr8	ENSMUSG00000031847
CH vs Clean	1700030J22Rik	0.0453105459351058	-0.213275677637631	0.303896769507843	0.849391659385275	2.81465552726245	0.719901541240825	chr8	ENSMUSG00000031847
CH vs Bedding	1700030J22Rik	-0.0182726553793451	-0.235050930058786	0.198505619300096	0.913717472968733	2.81465552726245	0.862890311545044	chr8	ENSMUSG00000031847
Bedding vs Clean	1700030K09Rik	0.00607882964057627	-0.178459214242178	0.190616873523331	0.998262179241535	2.85704094843418	0.946177143241849	chr8	ENSMUSG00000052794
CH vs Clean	1700030K09Rik	-0.131853437251893	-0.34137846153493	0.0776715870311439	0.421959996333565	2.85704094843418	0.205471712657483	chr8	ENSMUSG00000052794
CH vs Bedding	1700030K09Rik	-0.137932266892469	-0.313441317167554	0.0375767833826156	0.235616333309499	2.85704094843418	0.117428077330123	chr8	ENSMUSG00000052794
Bedding vs Clean	1700037C18Rik	-0.131068583679763	-0.372558461899158	0.110421294539633	0.861569355272272	1.99626466000101	0.272618789837032	chr16	ENSMUSG00000005983
CH vs Clean	1700037C18Rik	0.312859189312527	0.0402721121140606	0.585446266510993	0.13642380211141	1.99626466000101	0.0263721105129164	chr16	ENSMUSG00000005983
CH vs Bedding	1700037C18Rik	0.44392777299229	0.215588125772326	0.672267420212254	0.00833515273828099	1.99626466000101	0.000552114818133997	chr16	ENSMUSG00000005983
Bedding vs Clean	1700037H04Rik	-0.0249178981761426	-0.239336939167676	0.189501142815391	0.985404622176196	5.98117431217178	0.811835463936254	chr2	ENSMUSG00000027327
CH vs Clean	1700037H04Rik	0.339646319531158	0.0970790527237827	0.582213586338533	0.0782174437387537	5.98117431217178	0.00821793807179179	chr2	ENSMUSG00000027327
CH vs Bedding	1700037H04Rik	0.364564217707301	0.162097647179788	0.567030788234814	0.0123682977981735	5.98117431217178	0.00114480258320909	chr2	ENSMUSG00000027327
Bedding vs Clean	1700066M21Rik	-0.0123329017566389	-0.142781955867926	0.118116152354648	0.988102589919551	5.02978465260921	0.846427185820824	chr1	ENSMUSG00000038323
CH vs Clean	1700066M21Rik	-0.0468535128614658	-0.194582621920625	0.100875596197694	0.712806846611488	5.02978465260921	0.517698818724882	chr1	ENSMUSG00000038323
CH vs Bedding	1700066M21Rik	-0.0345206111048268	-0.157929346536355	0.0888881243267014	0.69904135072796	5.02978465260921	0.567896413561475	chr1	ENSMUSG00000038323
Bedding vs Clean	1700088E04Rik	-0.0722267683133977	-0.376992056604322	0.232538519977527	0.954447150074714	2.32822515288704	0.628098350564939	chr15	ENSMUSG00000033029
CH vs Clean	1700088E04Rik	0.373389952960297	0.0292938127719628	0.717486093148632	0.158151320175618	2.32822515288704	0.0347395162241208	chr15	ENSMUSG00000033029
CH vs Bedding	1700088E04Rik	0.445616721273695	0.157425043959723	0.733808398587667	0.0259140625944504	2.32822515288704	0.00404953371312138	chr15	ENSMUSG00000033029
Bedding vs Clean	1700102P08Rik	-0.253422362478824	-0.684316500542406	0.177471775584758	0.839216245606399	0.156670740274881	0.23562609972795	chr9	ENSMUSG00000032611
CH vs Clean	1700102P08Rik	-0.0267955962024908	-0.512862442981373	0.459271250576392	0.955045997792768	0.156670740274881	0.910057256807646	chr9	ENSMUSG00000032611
CH vs Bedding	1700102P08Rik	0.226626766276333	-0.179075494653299	0.632329027205966	0.411963523795826	0.156670740274881	0.259238784260733	chr9	ENSMUSG00000032611
Bedding vs Clean	1700109H08Rik	0.503627815710707	-0.160596144756194	1.16785177617761	0.76724944028146	0.438649172928011	0.130175811129428	chr5	ENSMUSG00000008307
CH vs Clean	1700109H08Rik	-0.454440092518556	-1.20650916087589	0.297628975838778	0.442358174511424	0.438649172928011	0.223416083722259	chr5	ENSMUSG00000008307
CH vs Bedding	1700109H08Rik	-0.958067908229263	-1.58783804079547	-0.328297775663053	0.0281196324611397	0.438649172928011	0.0045784529776471	chr5	ENSMUSG00000008307
Bedding vs Clean	1700123O20Rik	-0.116213263732783	-0.266068019139109	0.0336414916735425	0.76277155628869	4.09701713451512	0.122090710449427	chr14	ENSMUSG00000040822
CH vs Clean	1700123O20Rik	0.0872520168842401	-0.083386093754305	0.257890127522785	0.525301907260255	4.09701713451512	0.300613891268896	chr14	ENSMUSG00000040822
CH vs Bedding	1700123O20Rik	0.203465280617023	0.0604783950852544	0.346452166148792	0.0374591532473588	4.09701713451512	0.00736338925394243	chr14	ENSMUSG00000040822
Bedding vs Clean	1810009A15Rik	-0.129677791012568	-0.266479247907214	0.00712366588207777	0.702127735331783	3.54207221147014	0.062069151589685	chr19	ENSMUSG00000071653
CH vs Clean	1810009A15Rik	-0.0130993961719112	-0.16843167610554	0.142232883761718	0.930421399999768	3.54207221147014	0.862826682905767	chr19	ENSMUSG00000071653
CH vs Bedding	1810009A15Rik	0.116578394840657	-0.0134736317451626	0.246630421426476	0.173436363114726	3.54207221147014	0.0764775302025119	chr19	ENSMUSG00000071653
Bedding vs Clean	1810010H24Rik	0.0035813610846378	-0.237848680835434	0.24501140300471	0.999210053440283	2.22336988885715	0.975746721932855	chr11	ENSMUSG00000078607
CH vs Clean	1810010H24Rik	0.348073861977374	0.0725330119023878	0.62361471205236	0.105167889691648	2.22336988885715	0.0156201354101401	chr11	ENSMUSG00000078607
CH vs Bedding	1810010H24Rik	0.344492500892736	0.113257378103501	0.575727623681971	0.0307532478410847	2.22336988885715	0.00533362952229638	chr11	ENSMUSG00000078607
Bedding vs Clean	1810030O07Rik	-0.0234578688190075	-0.120848180082606	0.0739324424445911	0.953975611315197	4.7847997499645	0.622522737675274	chrX	ENSMUSG00000044148
CH vs Clean	1810030O07Rik	-0.106541887033202	-0.216869118321304	0.00378534425490065	0.208913642621908	4.7847997499645	0.0576893299462348	chrX	ENSMUSG00000044148
CH vs Bedding	1810030O07Rik	-0.0830840182141941	-0.175262048017462	0.00909401158907389	0.17112243199632	4.7847997499645	0.074978255052495	chrX	ENSMUSG00000044148
Bedding vs Clean	1810037I17Rik	-0.0477512285369572	-0.191957200282483	0.0964547432085685	0.924492062712459	5.60337299719975	0.49960652632923	chr3	ENSMUSG00000054091
CH vs Clean	1810037I17Rik	0.105449321357757	-0.0577117432679577	0.268610385983471	0.407852375907897	5.60337299719975	0.193933223757914	chr3	ENSMUSG00000054091
CH vs Bedding	1810037I17Rik	0.153200549894714	0.0169442483580797	0.289456851431348	0.0914106534325362	5.60337299719975	0.0292525294621355	chr3	ENSMUSG00000054091
Bedding vs Clean	1810055G02Rik	-0.0541289717153175	-0.216629690726832	0.108371747296197	0.924089838822217	4.09319240299931	0.497087885461012	chr19	ENSMUSG00000035372
CH vs Clean	1810055G02Rik	-0.137862131757554	-0.32132553118481	0.0456012676697009	0.329189700152614	4.09319240299931	0.133482475621085	chr19	ENSMUSG00000035372
CH vs Bedding	1810055G02Rik	-0.0837331600422369	-0.237087531265767	0.0696212111812936	0.423138339268011	4.09319240299931	0.269826036429238	chr19	ENSMUSG00000035372
Bedding vs Clean	2010315B03Rik	0.00698771369483353	-0.189914268587444	0.203889695977111	0.998262179241535	3.7076416704793	0.942022284045806	chr9	ENSMUSG00000074829
CH vs Clean	2010315B03Rik	-0.156008246882884	-0.378711526210883	0.0666950324451144	0.366267099847755	3.7076416704793	0.160489686485996	chr9	ENSMUSG00000074829
CH vs Bedding	2010315B03Rik	-0.162995960577718	-0.349132939784888	0.0231410186294523	0.183285941841718	3.7076416704793	0.08304730124332	chr9	ENSMUSG00000074829
Bedding vs Clean	2210016F16Rik	0.00859080282742575	-0.179347122265756	0.196528727920608	0.996931567870053	3.74946060503115	0.925367839939988	chr13	ENSMUSG00000021550
CH vs Clean	2210016F16Rik	0.0725910986618086	-0.141450513790242	0.286632711113859	0.690842743593001	3.74946060503115	0.489396148701993	chr13	ENSMUSG00000021550
CH vs Bedding	2210016F16Rik	0.0640002958343828	-0.115335155033098	0.243335746701864	0.613656437788374	3.74946060503115	0.467235564099552	chr13	ENSMUSG00000021550
Bedding vs Clean	2210016L21Rik	-0.163965817255789	-0.271799983859893	-0.0561316506516843	0.508273048817998	6.5964347182819	0.00459222740606356	chr5	ENSMUSG00000029559
CH vs Clean	2210016L21Rik	0.0559043373715502	-0.0660753540185242	0.177884028761625	0.575233158866823	6.5964347182819	0.352369936495122	chr5	ENSMUSG00000029559
CH vs Bedding	2210016L21Rik	0.219870154627339	0.118112839108468	0.321627470146209	0.0047723941641862	6.5964347182819	0.000183521567891606	chr5	ENSMUSG00000029559
Bedding vs Clean	2210408I21Rik	-0.0409901958898775	-0.2541937205558	0.172213328776045	0.964176526423092	2.92157319539347	0.694073689355519	chr13	ENSMUSG00000071252
CH vs Clean	2210408I21Rik	-0.0863768234404878	-0.328742269043876	0.1559886221629	0.674281121561285	2.92157319539347	0.467832430528696	chr13	ENSMUSG00000071252
CH vs Bedding	2210408I21Rik	-0.0453866275506103	-0.248579105124464	0.157805850023243	0.761713126089048	2.92157319539347	0.647890181748961	chr13	ENSMUSG00000071252
Bedding vs Clean	2300009A05Rik	-0.0522621584639862	-0.218186521328343	0.113662204400371	0.927629771374094	3.4257160144188	0.52055696331442	chr9	ENSMUSG00000032403
CH vs Clean	2300009A05Rik	0.0712125356042614	-0.117436363712134	0.259861434920657	0.651675510783647	3.4257160144188	0.442234588934682	chr9	ENSMUSG00000032403
CH vs Bedding	2300009A05Rik	0.123474694068248	-0.0345369084389144	0.28148629657541	0.238456587140585	3.4257160144188	0.119415118531728	chr9	ENSMUSG00000032403
Bedding vs Clean	2310009B15Rik	-0.00338433231903634	-0.243605180068498	0.236836515430425	0.999210053440283	3.02540893183492	0.976965278959547	chr1	ENSMUSG00000079283
CH vs Clean	2310009B15Rik	0.302715928710541	0.0280752054133596	0.577356652007722	0.151854262500211	3.02540893183492	0.0322419912046389	chr1	ENSMUSG00000079283
CH vs Bedding	2310009B15Rik	0.306100261029577	0.0758081330454048	0.536392389013749	0.0491719770665295	3.02540893183492	0.0114914115350529	chr1	ENSMUSG00000079283
Bedding vs Clean	2310011J03Rik	-0.0270988212898051	-0.151131867267328	0.0969342246877174	0.957799720503046	5.04205303260359	0.655056073515353	chr10	ENSMUSG00000020133
CH vs Clean	2310011J03Rik	0.21192740920053	0.0717025716323004	0.35215224676876	0.0618647767497089	5.04205303260359	0.00480289221205005	chr10	ENSMUSG00000020133
CH vs Bedding	2310011J03Rik	0.239026230490335	0.121927576636635	0.356124884344035	0.0065368116622869	5.04205303260359	0.000337083450391433	chr10	ENSMUSG00000020133
Bedding vs Clean	2310022A10Rik	-0.0641333304007139	-0.161373652959906	0.033106992158478	0.816743282167304	4.88360909547692	0.18529729638505	chr7	ENSMUSG00000049643
CH vs Clean	2310022A10Rik	-0.0553181392656343	-0.165694283663101	0.0550580051318327	0.533662020511264	4.88360909547692	0.310080189635284	chr7	ENSMUSG00000049643
CH vs Bedding	2310022A10Rik	0.00881519113507956	-0.0834568115124519	0.101087193782611	0.901261149143164	4.88360909547692	0.844836038737406	chr7	ENSMUSG00000049643
Bedding vs Clean	2310022B05Rik	0.000744061569418974	-0.268255481889931	0.269743605028769	0.999342936876757	7.38583571576573	0.99547554342362	chr8	ENSMUSG00000031983
CH vs Clean	2310022B05Rik	0.251055433427711	-0.052580655110007	0.554691521965428	0.282061643257223	7.38583571576573	0.100464516966985	chr8	ENSMUSG00000031983
CH vs Bedding	2310022B05Rik	0.250311371858292	-0.00287162019403076	0.503494363910614	0.133361441750924	7.38583571576573	0.0524327035943803	chr8	ENSMUSG00000031983
Bedding vs Clean	2310030G06Rik	-0.0507632362986742	-0.3962377206178	0.294711248020452	0.974998669735287	1.09057174002011	0.76354062491022	chr9	ENSMUSG00000032062
CH vs Clean	2310030G06Rik	0.138998142230373	-0.248061669999047	0.526057954459794	0.671193267364054	1.09057174002011	0.464481038868173	chr9	ENSMUSG00000032062
CH vs Bedding	2310030G06Rik	0.189761378529047	-0.134021861079915	0.513544618138009	0.386863752303642	1.09057174002011	0.237215815069947	chr9	ENSMUSG00000032062
Bedding vs Clean	2310033P09Rik	-0.0432457510115878	-0.226307199066837	0.139815697043661	0.954447150074714	3.55211855898097	0.629188188123859	chr11	ENSMUSG00000020441
CH vs Clean	2310033P09Rik	-0.0768623159014199	-0.284296621584561	0.130571989781721	0.659371537109583	3.55211855898097	0.450570550358215	chr11	ENSMUSG00000020441
CH vs Bedding	2310033P09Rik	-0.0336165648898321	-0.207295627463636	0.140062497683972	0.796181254796725	3.55211855898097	0.692121952620657	chr11	ENSMUSG00000020441
Bedding vs Clean	2310039H08Rik	-0.119555217177216	-0.455801436154838	0.216691001800406	0.920236722034005	1.42493179363972	0.46886001837273	chr17	ENSMUSG00000062619
CH vs Clean	2310039H08Rik	0.301707490862242	-0.0787447569996784	0.682159738724163	0.303523109408776	1.42493179363972	0.114318390495271	chr17	ENSMUSG00000062619
CH vs Bedding	2310039H08Rik	0.421262708039458	0.102978355663857	0.739547060415059	0.049929345143271	1.42493179363972	0.01179954182232	chr17	ENSMUSG00000062619
Bedding vs Clean	2310057M21Rik	0.0348321594864442	-0.06045163714392	0.130115956116809	0.915594881951847	4.61372393911035	0.456597543914701	chr7	ENSMUSG00000040177
CH vs Clean	2310057M21Rik	-0.114204038065311	-0.222502842939666	-0.00590523319095579	0.16964433663218	4.61372393911035	0.0396561761272661	chr7	ENSMUSG00000040177
